Column1,Material,N_p,L_t,P_t,N_t,d_o,d_i,A,d_shell,V_tubes,V_shell,h_o,h_i,U,e,A_req,U_o_guess,T_o,dT_lm,m_dot_c,D_s/Lt
340978,1,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,0.919494716,13.7244541,7920.946864,5238.005748,2648.432792,0.678405422,11.4304669,5037.5,71.24357396,42.45344589,18.70270242,0.064119941
341054,1,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,1.147689798,14.578314,7920.946864,6118.136558,2918.98082,0.632300268,9.416651976,5600,65,46.3561575,23.37958717,0.064119941
341073,1,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,0.919494716,13.7244541,7920.946864,5238.005748,2648.432792,0.678405422,10.28231732,5600,71.24357396,42.45344589,18.70270242,0.064119941
401854,3,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,1.147689798,14.578314,7920.946864,6118.136558,2705.214211,0.604347719,47.93931915,1100,65,46.3561575,23.37958717,0.064119941
401873,3,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,0.919494716,13.7244541,7920.946864,5238.005748,2471.253402,0.653047819,52.34634274,1100,71.24357396,42.45344589,18.70270242,0.064119941
401949,3,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,1.147689798,14.578314,7920.946864,6118.136558,2705.214211,0.604347719,31.71924876,1662.5,65,46.3561575,23.37958717,0.064119941
401968,3,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,0.919494716,13.7244541,7920.946864,5238.005748,2471.253402,0.653047819,34.63517414,1662.5,71.24357396,42.45344589,18.70270242,0.064119941
402044,3,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,1.147689798,14.578314,7920.946864,6118.136558,2705.214211,0.604347719,23.70033756,2225,65,46.3561575,23.37958717,0.064119941
402063,3,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,0.919494716,13.7244541,7920.946864,5238.005748,2471.253402,0.653047819,25.87909079,2225,71.24357396,42.45344589,18.70270242,0.064119941
402139,3,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,1.147689798,14.578314,7920.946864,6118.136558,2705.214211,0.604347719,18.91775823,2787.5,65,46.3561575,23.37958717,0.064119941
402158,3,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,0.919494716,13.7244541,7920.946864,5238.005748,2471.253402,0.653047819,20.65685274,2787.5,71.24357396,42.45344589,18.70270242,0.064119941
402234,3,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,1.147689798,14.578314,7920.946864,6118.136558,2705.214211,0.604347719,15.74126897,3350,65,46.3561575,23.37958717,0.064119941
